	;Gen 1; Gen 2; Gen 3; Gen 4; Gen 5; Gen 6; Gen 7;  Gen 8; Gen 9; Gen 10 
 Exe 1;-15,48265;-15,48265;-16,52694;-16,52694;-16,52694;-16,52694;-16,65365;-16,65365;-16,65365;-16,65365;
 Exe 2;-15,48265;-12,9603;-14,02151;-14,40749;-15,1947;-16,19018;-16,52694;-16,52694;-16,52694;-16,52694;
 Exe 3;-10,8657;-10,8657;-16,19018;-16,37233;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;
 Exe 4;-9,44021;-9,44021;-13,79727;-15,74489;-15,74489;-15,74489;-15,98089;-16,52694;-16,52694;-16,52694;
 Exe 5;-10,03959;-8,18238;-10,03959;-16,37233;-16,37233;-16,37233;-16,37233;-16,37233;-16,37233;-16,52694;
 Exe 6;-10,60056;-10,60056;-10,60056;-11,52099;-11,52099;-11,52099;-11,52099;-11,52099;-11,52099;-13,68348;
 Exe 7;-8,38082;-10,61814;-10,60584;-10,60584;-13,17142;-13,17142;-13,60931;-13,60931;-14,54387;-14,54387;
 Exe 8;-10,3507;-10,3507;-16,50155;-16,50155;-16,50155;-16,50155;-16,50155;-16,50155;-16,50155;-16,8635;
 Exe 9;-7,4194;-7,4194;-7,4194;-7,4194;-9,85425;-7,4727;-7,4727;-7,4727;-7,4727;-7,4727;
 Exe 10;-16,81364;-16,81364;-16,81364;-16,81364;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;
 Exe 11;

Média: ;-11,48759;-11,27337;-13,25165;-14,22854;-14,84001;-14,7014;-14,81514;-14,86974;-14,9632;-15,2311;
