
X, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 
Y, 199.73333056953936, 174.40514307798037, 174.40514307798037, 174.40514307798037, 174.40514307798037, 174.40514307798037, 174.40514307798037, 174.40514307798037, 174.40514307798037, 174.40514307798037, 205.29385040687185, 205.29385040687185, 200.02668659861803, 226.21598514115794, 226.21598514115794, 226.21598514115794, 226.21598514115794, 226.21598514115794, 226.21598514115794, 226.21598514115794, 
X, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 262.5257489427578, 
Y, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 358.5740700225568, 
X, 239.32760666463287, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 205.9114015152489, 
Y, -59.93435062485038, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, -30.804376369641343, 
X, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, 
Y, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 
X, -183.93489427099968, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, -196.79527983324124, 
Y, -242.10853216287327, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, -223.83593809103024, 
X, 212.25582273932133, 218.5728490276227, 206.8470831045314, 212.25582273932133, 216.88475075317066, 212.65086981120524, 212.65086981120524, 212.65086981120524, 212.65086981120524, 212.65086981120524, 212.65086981120524, 212.65086981120524, 212.65086981120524, 212.65086981120524, 212.65086981120524, 212.65086981120524, 212.65086981120524, 212.65086981120524, 212.65086981120524, 212.65086981120524, 
Y, -472.03444485429526, -465.4848802170302, -465.53887973627775, -472.03444485429526, -462.3116027111425, -467.4239807286897, -467.4239807286897, -467.4239807286897, -467.4239807286897, -467.4239807286897, -467.4239807286897, -467.4239807286897, -467.4239807286897, -467.4239807286897, -467.4239807286897, -467.4239807286897, -467.4239807286897, -467.4239807286897, -467.4239807286897, -467.4239807286897, 
X, -463.8374365359273, -463.8374365359273, -460.62311221196126, -443.694183028805, -443.694183028805, -456.88717972739283, -456.88717972739283, -432.3322235118059, -432.3322235118059, -432.3322235118059, -481.23901710867716, -481.23901710867716, -459.8632500026796, -459.8632500026796, -459.8632500026796, -459.8632500026796, -459.8632500026796, -459.8632500026796, -459.8632500026796, -459.8632500026796, 
Y, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 
X, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 
Y, 511.9963294228468, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 
X, 189.8346607492119, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 164.1428423998326, 
Y, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 
