 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688 -786,12688
 -713,90785 -713,90785 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831 -716,69831
 -939,01106 -939,01106 -878,37136 -898,70407 -898,70407 -929,58939 -929,58939 -929,58939 -958,95036 -959,1355 -959,1355 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952 -959,30952
 -685,68346 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965 -751,3965
 -858,36489 -858,36489 -869,62962 -869,62962 -869,62962 -869,62962 -869,62962 -869,62962 -869,62962 -869,62962 -869,62962 -932,96921 -891,67633 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447 -954,53447
 -709,87396 -709,87396 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216 -784,05216
 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576 -937,57576
 -743,28153 -743,28153 -743,28153 -743,28153 -849,79286 -955,58898 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399 -959,62399
 -875,63224 -875,63224 -858,46586 -875,63224 -882,8036 -882,8036 -882,8036 -882,8036 -882,8036 -897,04063 -939,3498 -954,04805 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285 -959,20285
 -959,29994 -959,29994 -959,29994 -928,03299 -928,03299 -900,17076 -955,63746 -955,63746 -959,54265 -959,54265 -959,54265 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071 -959,55071
