	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
Média: ;-11,68175;-12,24734;-14,30092;-12,87342;-12,9162;-11,07197;-12,34926;-10,41856;-13,36679;-13,20498;
	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
 Iteracao 1;-10,52427;-16,82218;-15,40337;-16,85935;-12,5961;-10,11067;-9,85425;-7,4727;-16,8635;-10,44117;
 Iteracao 2;-13,45743;-16,82218;-16,87594;-16,85935;-13,18024;-1,17132;-9,85425;-14,40749;-10,03959;-11,70955;
 Iteracao 3;-15,98089;-14,88157;-7,40422;0,23903;-13,18024;-12,50976;-0,7362;-10,44117;-6,99312;-14,40749;
 Iteracao 4;-13,73091;-10,56288;-7,40422;-11,70955;-12,93037;-14,18222;-10,52427;-15,09884;-6,71486;-15,74489;
 Iteracao 5;-0,19405;-6,92458;-10,51067;-11,70955;-5,82962;-15,67997;-12,35811;-15,09884;-13,18024;-10,3507;
 Iteracao 6;-5,84184;-11,31862;-13,5299;-8,81831;-8,01124;-7,10241;-15,74489;-16,50155;-15,40337;-4,34313;
 Iteracao 7;-5,84184;-13,18024;-10,51067;-16,75215;-9,79766;-10,03959;-9,34381;-10,51067;-13,72363;-13,11658;
 Iteracao 8;-7,765;-8,29459;-10,37442;-16,75215;-10,97044;-8,92561;-6,25172;-11,64468;-2,30156;-7,4481;
 Iteracao 9;-3,43508;-10,56288;-6,11983;-16,75215;-10,11067;-8,92561;-16,87594;-10,51067;-6,898;-12,2209;
 Iteracao 10;-9,48899;-14,18222;-8,29459;-15,92834;-10,11067;-13,11658;-15,1947;-4,85727;-10,44117;-6,74722;

Média: ;-12,69476;-12,43773;-9,62956;-11,8603;-10,18363;-10,66153;-11,28168;-9,07283;-10,24117;-10,83617;
	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
 Iteracao 1;-5,30245;-2,71453;-4,31872;-12,9603;-5,88207;-10,60056;-12,03888;-13,38973;-14,18222;-12,5961;
 Iteracao 2;-11,52099;-7,13209;-10,45875;-10,51067;-14,02151;-7,02255;-12,03888;-9,39681;-9,05766;-13,00759;
 Iteracao 3;-15,1947;-9,96868;-16,52694;-15,40337;-16,82218;-2,46241;-10,5125;-2,86864;-16,33933;-12,22885;
 Iteracao 4;-15,1947;-2,41477;-16,52694;-16,85935;-16,82218;-13,61891;-8,29459;-5,25973;-16,33933;-9,68008;
 Iteracao 5;-9,39681;-4,35448;-16,52694;-13,27866;-12,48628;-16,73877;-14,02151;-10,51189;-6,07568;-9,68008;
 Iteracao 6;-9,39681;-15,92834;-9,34381;-6,05385;-1,18551;-16,73877;-14,02151;-10,59799;-16,1482;-12,22885;
 Iteracao 7;-7,40422;-15,92834;-5,76713;-16,37233;-12,22885;-16,73877;-14,02151;-10,8657;-10,3507;-12,22885;
